,cusip,conm,tic,rdq_1,atq_1,dlttq_1,ltq_1,cheq_1,oibdpq_1,ppentq_1,piq_1,revtq_1,niq_1,cogsq_1,xoprq_1,xintq_1,oiadpq_1,dlcq_1,rdq_2,atq_2,dlttq_2,ltq_2,cheq_2,oibdpq_2,ppentq_2,piq_2,revtq_2,niq_2,cogsq_2,xoprq_2,xintq_2,oiadpq_2,dlcq_2,rdq_3,atq_3,dlttq_3,ltq_3,cheq_3,oibdpq_3,ppentq_3,piq_3,revtq_3,niq_3,cogsq_3,xoprq_3,xintq_3,oiadpq_3,dlcq_3,rdq_4,atq_4,dlttq_4,ltq_4,cheq_4,oibdpq_4,ppentq_4,piq_4,revtq_4,niq_4,cogsq_4,xoprq_4,xintq_4,oiadpq_4,dlcq_4,rdq_5,atq_5,dlttq_5,ltq_5,cheq_5,oibdpq_5,ppentq_5,piq_5,revtq_5,niq_5,cogsq_5,xoprq_5,xintq_5,oiadpq_5,dlcq_5,rdq_6,atq_6,dlttq_6,ltq_6,cheq_6,oibdpq_6,ppentq_6,piq_6,revtq_6,niq_6,cogsq_6,xoprq_6,xintq_6,oiadpq_6,dlcq_6,rdq_7,atq_7,dlttq_7,ltq_7,cheq_7,oibdpq_7,ppentq_7,piq_7,revtq_7,niq_7,cogsq_7,xoprq_7,xintq_7,oiadpq_7,dlcq_7,rdq_8,atq_8,dlttq_8,ltq_8,cheq_8,oibdpq_8,ppentq_8,piq_8,revtq_8,niq_8,cogsq_8,xoprq_8,xintq_8,oiadpq_8,dlcq_8,rdq_9,atq_9,dlttq_9,ltq_9,cheq_9,oibdpq_9,ppentq_9,piq_9,revtq_9,niq_9,cogsq_9,xoprq_9,xintq_9,oiadpq_9,dlcq_9,rdq_10,atq_10,dlttq_10,ltq_10,cheq_10,oibdpq_10,ppentq_10,piq_10,revtq_10,niq_10,cogsq_10,xoprq_10,xintq_10,oiadpq_10,dlcq_10,rdq_11,atq_11,dlttq_11,ltq_11,cheq_11,oibdpq_11,ppentq_11,piq_11,revtq_11,niq_11,cogsq_11,xoprq_11,xintq_11,oiadpq_11,dlcq_11,rdq_12,atq_12,dlttq_12,ltq_12,cheq_12,oibdpq_12,ppentq_12,piq_12,revtq_12,niq_12,cogsq_12,xoprq_12,xintq_12,oiadpq_12,dlcq_12
0,64090120,NETWORK SIX INC,NWSS,1997-05-16,7.889,0.181,5.319,0.601,-0.061,0.108,-0.132,1.414,-0.132,0.949,1.475,0.051,-0.085,2.018,1997-07-30,8.862,0.14,6.071,0.387,0.388,0.103,0.308,3.432,0.243,2.571,3.044,0.062,0.365,2.008,1997-11-07,9.322,0.127,6.461,1.996,0.265,0.079,0.173,3.572,0.116,2.748,3.307,0.077,0.248,1.973,1998-03-17,9.292,0.846,6.337,1.292,0.259,0.067,0.186,3.042,0.18,2.27,2.783,0.076,0.241,1.407,1998-05-07,7.436,0.827,4.38,0.466,0.232,0.092,0.238,2.222,0.14,1.432,1.99,0.029,0.217,0.185,1998-07-29,8.306,0.812,4.978,0.822,0.539,0.096,0.525,3.253,0.31,2.152,2.714,0.011,0.533,0.187,1998-10-26,8.865,1.225,5.287,1.454,0.521,0.114,0.506,2.663,0.298,1.525,2.142,0.014,0.51,0.28,1999-02-23,8.701,0.99,4.892,1.442,0.476,0.172,0.405,2.262,0.313,1.263,1.786,0.071,0.461,0.381,1999-04-27,8.226,0.963,4.18,1.331,0.468,0.189,0.436,2.688,0.257,1.558,2.22,0.03,0.452,0.372,1999-07-27,6.448,1.508,4.161,1.451,0.314,0.24,-2.898,2.551,-1.712,1.542,2.237,0.029,0.29,0.475,1999-10-29,6.441,1.48,4.088,2.535,0.311,0.213,0.254,2.575,0.15,1.61,2.264,0.061,0.289,0.448,2000-02-28,6.16,1.318,3.829,2.454,0.108,0.195,0.143,2.412,0.083,1.394,2.304,0.034,0.096,0.457
1,19248010,COHESANT TECHNOLOGIES INC,COHT,1997-04-11,8.831,0.0,2.915,0.113,0.047,0.951,0.007,2.139,-0.092,1.214,2.092,0.011,-0.006,0.82,1997-06-27,9.43,0.0,3.551,0.369,0.062,1.163,0.007,2.442,-0.037,1.328,2.38,0.019,0.005,1.134,1997-10-09,8.667,0.0,4.084,0.202,0.287,0.857,0.216,2.84,-1.295,1.492,2.553,0.024,0.236,1.01,1998-01-16,8.877,0.063,4.327,0.06,0.089,0.628,0.004,2.41,-0.034,1.297,2.321,0.028,0.022,1.616,1998-03-20,7.926,0.0,3.206,0.019,0.223,0.627,0.17,2.604,0.17,1.397,2.381,0.03,0.164,1.066,1998-06-18,7.759,0.0,2.862,0.054,0.231,0.619,0.177,3.181,0.177,1.751,2.95,0.027,0.163,1.068,1998-09-22,7.787,0.0,2.639,0.171,0.285,0.629,0.251,3.054,0.251,1.622,2.769,0.02,0.224,0.859,1998-12-22,7.571,0.025,2.83,0.12,0.159,0.606,0.098,2.897,0.098,1.541,2.738,0.019,0.08,0.914,1999-03-19,8.215,0.0,3.398,0.064,0.263,0.633,0.224,3.095,0.141,1.695,2.832,0.024,0.197,1.499,1999-06-22,8.516,0.0,3.561,0.043,0.368,0.67,0.301,3.877,0.196,2.085,3.509,0.037,0.3,1.749,1999-09-16,8.725,0.0,3.529,0.117,0.423,0.625,0.373,3.844,0.241,2.056,3.421,0.032,0.352,1.509,1999-12-20,7.987,0.0,2.701,0.353,0.277,0.582,0.217,3.375,0.09,1.804,3.098,0.024,0.191,0.721
2,25469V10,DISPLAY TECHNOLOGIES INC,DTEK,1996-11-15,9.319,2.141,4.603,0.028,0.416,2.796,0.272,4.214,0.116,2.159,3.798,0.049,0.298,0.127,1997-02-12,9.076,1.842,4.991,0.023,0.187,2.7,0.318,3.609,-0.05,1.795,3.422,0.053,0.079,0.573,1997-05-05,9.386,2.422,5.032,0.116,0.397,2.641,0.243,3.803,0.254,1.725,3.406,0.065,0.28,0.482,1997-09-04,9.476,2.18,4.652,0.231,0.511,2.554,0.356,4.32,0.445,1.965,3.809,0.066,0.374,0.318,1997-10-30,10.79,2.907,5.522,0.198,0.524,2.789,0.36,5.081,0.29,2.57,4.557,0.072,0.405,0.39,1998-02-11,11.044,3.357,5.68,0.0,0.228,3.116,0.1,4.69,0.072,2.512,4.462,0.047,0.102,0.389,1998-05-06,28.445,10.999,18.289,0.007,0.824,6.041,0.553,7.91,0.327,4.834,7.086,0.129,0.655,0.666,1998-08-11,30.795,10.452,19.268,0.538,1.601,6.071,1.19,14.797,0.899,9.106,13.196,0.238,1.348,0.853,1998-10-30,35.173,12.975,22.589,0.297,2.034,6.179,1.505,17.034,0.918,10.787,15.0,0.305,1.786,0.817,1999-01-02,37.201,12.812,23.345,0.195,2.008,6.431,1.475,17.438,0.9,11.117,15.43,0.314,1.785,0.758,1999-05-10,37.726,12.224,21.213,0.489,0.567,6.823,0.054,13.982,0.033,9.028,13.415,0.305,0.318,0.821,1999-08-26,45.356,15.374,25.405,0.08,1.259,7.947,0.649,17.682,0.394,11.912,16.423,0.311,0.91,1.118
3,45943650,INTL ELECTRONICS INC,IEIB,1997-01-10,3.218,0.417,1.911,0.604,0.114,0.318,0.044,2.298,0.028,1.307,2.184,0.012,0.053,0.074,1997-04-10,3.095,0.054,1.858,0.508,0.0,0.354,-0.074,2.187,-0.07,1.256,2.187,0.012,-0.07,0.04,1997-07-14,3.208,0.058,1.959,0.387,0.088,0.339,0.02,2.334,0.01,1.32,2.246,0.004,0.015,0.035,1997-11-19,3.026,0.068,1.675,0.16,0.191,0.357,0.108,2.355,0.102,1.271,2.164,0.003,0.11,0.036,1998-01-08,3.177,0.074,1.717,0.224,0.207,0.442,0.153,2.361,0.109,1.245,2.154,0.003,0.155,0.041,1998-04-02,3.218,0.097,1.648,0.462,0.183,0.427,0.137,2.232,0.109,1.167,2.049,0.003,0.14,0.054,1998-07-15,3.356,0.1,1.684,0.557,0.242,0.411,0.13,2.437,0.102,1.169,2.195,0.005,0.124,0.063,1998-10-14,3.312,0.083,1.419,0.896,0.286,0.369,0.231,2.622,0.21,1.283,2.336,0.005,0.21,0.064,1999-01-14,3.66,0.069,1.688,1.153,0.156,0.367,0.103,2.131,0.079,1.034,1.975,0.004,0.091,0.063,1999-04-12,3.85,0.106,1.78,1.18,0.182,0.392,0.117,2.403,0.097,1.226,2.221,0.003,0.107,0.086,1999-07-13,3.953,0.087,1.808,1.293,0.144,0.452,0.085,2.417,0.065,1.226,2.273,0.004,0.072,0.083,1999-11-18,4.165,0.118,1.706,1.328,0.098,0.494,-0.011,2.475,0.314,1.234,2.377,0.005,0.003,0.107
4,02553T20,AMERICAN EDUCATIONAL PRODUCT,AMEP.1,1997-04-16,7.591,0.0,3.474,0.075,0.264,3.048,-0.055,1.621,-0.055,0.854,1.357,0.063,0.008,2.434,1997-07-10,8.154,0.0,3.734,0.115,0.656,2.899,0.303,2.544,0.303,1.263,1.888,0.094,0.397,2.78,1997-10-14,7.862,0.0,3.08,0.212,0.681,2.778,0.357,2.592,0.357,1.343,1.911,0.091,0.448,2.296,1998-02-03,7.251,0.0,2.533,0.183,0.245,2.606,-0.091,1.635,-0.091,0.763,1.39,0.075,-0.016,1.855,1998-04-14,7.665,0.091,2.799,0.101,0.244,2.623,-0.021,1.847,-0.021,0.995,1.603,0.067,0.046,2.004,1998-07-17,10.372,1.22,4.904,0.158,0.633,3.044,0.352,2.555,0.352,1.252,1.922,0.071,0.423,2.644,1998-10-15,11.951,1.172,5.792,0.277,0.995,3.077,0.636,4.542,0.636,2.273,3.547,0.106,0.742,2.927,1999-03-19,11.202,1.087,5.051,0.124,0.245,2.813,-0.086,2.731,-0.117,1.445,2.486,0.114,0.028,2.509,1999-04-15,11.871,1.061,5.534,0.095,0.403,2.831,0.065,3.301,0.065,1.758,2.898,0.098,0.163,2.679,1999-07-30,11.326,0.882,4.561,0.104,0.779,2.807,0.44,4.232,0.44,2.125,3.453,0.097,0.537,2.3,1999-10-20,12.439,0.96,5.221,0.213,0.797,2.694,0.449,4.624,0.449,2.479,3.827,0.09,0.539,2.626,2000-02-23,12.631,0.894,5.242,0.094,-0.166,2.553,-0.427,2.807,0.148,1.694,2.973,0.065,-0.362,2.657
5,18725U10,CLINICAL DATA INC,CLDA,1997-08-12,8.688,0.038,3.838,2.1,-0.142,0.544,-0.238,2.871,-0.179,2.06,3.013,0.014,-0.247,0.085,1997-11-14,9.004,0.035,4.365,2.363,-0.145,0.556,-0.184,2.609,-0.146,1.826,2.754,0.025,-0.2,0.065,1998-02-04,9.578,0.031,4.764,2.098,0.077,0.588,0.619,3.52,0.48,2.538,3.443,0.017,0.001,0.191,1998-06-29,9.405,0.03,4.764,1.23,-0.03,0.766,-0.074,2.802,-0.051,1.771,2.832,0.019,-0.124,0.052,1998-08-03,9.17,0.027,4.569,0.86,-0.125,0.813,-0.22,3.488,-0.172,2.49,3.613,0.015,-0.217,0.071,1998-11-05,8.951,0.027,4.117,0.477,0.016,0.904,-0.165,3.663,-0.089,2.606,3.647,0.014,-0.119,0.042,1999-02-09,10.214,0.024,5.467,1.683,0.077,0.942,-0.114,4.103,-0.133,2.855,4.026,0.019,-0.064,0.044,1999-06-28,9.659,0.024,5.359,1.287,-0.064,0.968,-0.207,4.164,-0.076,2.863,4.228,0.078,-0.147,0.004,1999-08-09,8.169,0.023,4.109,0.534,-0.02,0.94,-0.11,3.057,-0.108,2.002,3.077,0.001,-0.101,0.087,1999-11-10,8.147,0.021,3.965,0.14,0.148,0.941,0.016,3.556,0.002,2.189,3.408,0.003,0.03,0.063,2000-02-07,8.373,0.02,4.285,1.156,0.174,0.885,0.121,4.02,0.123,2.564,3.846,0.017,0.078,0.022,2000-06-22,8.279,0.0,4.263,1.326,0.261,0.916,0.144,3.55,0.091,2.181,3.289,0.005,0.139,0.017
6,26787610,DYNAMIC HOMES INC,DYHM,1997-05-15,7.886,2.054,3.568,0.059,-0.009,4.423,-0.142,1.748,-0.085,1.428,1.757,0.04,-0.104,0.231,1997-08-08,8.682,2.979,4.456,0.112,0.011,4.645,-0.152,2.296,-0.091,1.759,2.285,0.062,-0.089,0.14,1997-10-31,9.455,2.937,4.794,0.916,0.909,4.594,0.724,4.929,0.434,3.412,4.02,0.065,0.788,0.146,1998-03-18,8.882,2.952,4.15,1.33,0.239,4.604,0.126,3.886,0.071,2.97,3.647,0.07,0.119,0.154,1998-05-08,9.139,2.916,4.652,0.163,-0.245,4.608,-0.408,1.058,-0.339,0.79,1.303,0.069,-0.362,0.233,1998-07-28,9.872,2.875,5.239,0.057,0.42,4.559,0.243,4.076,0.146,3.08,3.656,0.074,0.303,0.597,1998-10-28,9.941,2.904,4.878,0.56,0.891,4.682,0.716,5.116,0.429,3.597,4.225,0.068,0.769,0.192,1999-03-16,9.425,2.852,4.318,0.312,0.294,4.578,0.185,3.655,0.138,2.734,3.361,0.058,0.197,0.197,1999-05-12,9.416,2.811,4.529,-0.072,-0.107,4.53,-0.238,1.448,-0.22,1.239,1.555,0.031,-0.221,0.322,1999-08-06,10.225,2.775,5.346,0.1,0.2,4.627,0.05,3.117,-0.007,2.567,2.917,0.039,0.079,0.893,1999-10-28,10.211,2.822,4.887,0.453,0.73,4.56,0.594,4.635,0.445,3.486,3.905,0.034,0.61,0.257,2000-03-07,9.784,2.753,4.33,0.932,0.356,4.557,0.227,4.364,0.13,3.231,4.008,0.056,0.214,0.268
7,59512510,MICRONETICS INC,NOIZ,1997-08-04,4.512,0.932,1.417,0.979,0.158,1.486,0.113,1.011,0.082,0.571,0.853,0.022,0.113,0.119,1997-11-10,4.722,0.913,1.498,1.05,0.169,1.467,0.152,1.201,0.125,0.664,1.032,0.016,0.124,0.114,1998-01-28,5.037,0.939,1.601,1.11,0.184,1.563,0.141,1.243,0.111,0.637,1.059,0.021,0.139,0.139,1998-06-22,5.214,0.909,1.629,1.032,0.174,1.521,0.111,1.334,0.11,0.581,1.16,0.029,0.146,0.131,1998-08-11,5.14,0.877,1.456,1.232,0.177,1.501,0.14,1.054,0.098,0.586,0.877,0.02,0.132,0.143,1998-10-30,5.222,0.847,1.403,1.084,0.192,1.477,0.16,1.149,0.13,0.638,0.957,0.02,0.147,0.12,1999-02-10,5.276,0.822,1.342,1.167,0.165,1.451,0.13,1.095,0.115,0.631,0.93,0.019,0.12,0.119,1999-06-22,6.023,0.916,1.599,1.165,-0.076,1.655,-0.112,1.249,-0.067,0.625,1.325,0.024,-0.116,0.225,1999-08-09,6.045,0.877,1.553,1.044,0.195,1.618,0.15,1.343,0.1,0.761,1.148,0.019,0.138,0.217,1999-11-04,6.222,0.848,1.614,0.913,0.227,1.651,0.179,1.487,0.155,0.829,1.26,0.02,0.168,0.202,2000-02-01,6.504,0.819,1.481,1.113,0.158,1.635,0.116,1.665,0.143,1.049,1.507,0.018,0.109,0.201,2000-06-19,6.873,0.703,1.446,1.425,0.21,1.597,0.143,1.711,0.34,1.006,1.501,0.02,0.137,0.203
8,98600110,YOCREAM INTERNATIONAL INC,YOCM,1997-03-17,4.975,0.284,2.315,0.4,0.006,1.933,-0.099,1.508,-0.099,1.027,1.502,0.035,-0.068,1.321,1997-05-29,5.597,0.267,2.72,0.394,0.332,1.931,0.229,2.277,0.229,1.363,1.945,0.038,0.263,1.386,1997-09-10,5.878,0.25,2.808,0.394,0.288,1.889,0.203,2.682,0.203,1.77,2.394,0.037,0.217,1.377,1998-01-28,5.811,0.223,2.625,0.414,0.069,1.92,-0.058,2.211,0.101,1.549,2.142,0.038,-0.025,1.412,1998-03-13,5.718,0.241,2.547,0.378,0.036,1.945,-0.054,1.614,-0.054,1.054,1.578,0.038,-0.028,1.403,1998-06-12,5.84,0.22,2.268,0.275,0.28,1.925,0.19,2.218,0.24,1.362,1.938,0.036,0.222,1.152,1998-08-26,6.417,0.202,2.45,0.275,0.33,2.03,0.238,3.246,0.313,2.267,2.916,0.033,0.269,1.241,1999-01-21,6.556,0.163,2.105,0.277,0.256,2.131,0.129,3.129,0.204,2.157,2.873,0.028,0.154,0.881,1999-03-04,6.453,0.142,1.978,0.283,0.176,2.062,0.069,2.178,0.05,1.442,2.002,0.025,0.091,0.985,1999-06-02,7.154,0.133,2.407,0.283,0.526,1.989,0.429,3.621,0.308,2.357,3.095,0.025,0.451,0.845,1999-09-01,7.28,0.217,2.182,0.167,0.646,2.1,0.548,4.626,0.395,3.073,3.98,0.016,0.562,0.063,2000-01-25,7.357,0.201,2.005,0.737,0.459,1.984,0.378,3.834,0.265,2.604,3.375,0.004,0.364,0.113
9,45252530,IMMUCELL CORP,ICCC,1997-04-28,3.189,0.509,1.153,1.061,0.185,0.812,0.152,1.3,0.152,1.115,1.115,0.017,0.161,0.235,1997-07-22,2.913,0.446,1.082,0.932,-0.173,0.792,-0.204,0.848,-0.204,1.021,1.021,0.019,-0.197,0.241,1997-10-24,2.851,0.382,1.024,0.798,0.029,0.812,-0.004,0.981,-0.004,0.952,0.952,0.017,0.004,0.247,1998-02-04,3.231,0.339,0.901,1.021,0.364,0.789,0.32,1.428,0.32,1.064,1.064,0.015,0.338,0.23,1998-04-21,3.402,0.311,0.833,1.405,0.231,0.785,0.219,1.335,0.219,1.104,1.104,0.013,0.205,0.198,1998-07-22,3.296,0.463,0.807,1.352,-0.061,0.783,-0.08,0.856,-0.08,0.917,0.917,0.012,-0.088,0.016,1998-10-22,3.222,0.459,0.877,1.33,-0.038,0.765,-0.144,1.117,-0.144,1.155,1.155,0.01,-0.06,0.016,1999-02-04,3.145,0.453,0.897,1.538,-0.026,0.75,-0.098,1.174,-0.098,1.2,1.2,0.01,-0.057,0.017,1999-04-21,3.297,0.448,0.795,1.572,0.278,0.736,0.254,1.404,0.254,1.126,1.126,0.01,0.251,0.018,1999-07-21,3.393,0.445,0.813,1.748,0.119,0.71,0.079,1.043,0.079,0.924,0.924,0.01,0.092,0.018,1999-10-20,3.412,0.439,0.768,1.769,0.153,0.676,0.063,1.159,0.063,1.006,1.006,0.01,0.13,0.018,2000-02-08,3.856,0.435,1.041,1.824,0.167,0.78,0.155,1.303,0.155,1.136,1.136,0.01,0.142,0.019
