,cusip,conm,tic,rdq_1,atq_1,dlttq_1,ltq_1,cheq_1,oibdpq_1,ppentq_1,piq_1,revtq_1,niq_1,cogsq_1,xoprq_1,xintq_1,oiadpq_1,dlcq_1,rdq_2,atq_2,dlttq_2,ltq_2,cheq_2,oibdpq_2,ppentq_2,piq_2,revtq_2,niq_2,cogsq_2,xoprq_2,xintq_2,oiadpq_2,dlcq_2,rdq_3,atq_3,dlttq_3,ltq_3,cheq_3,oibdpq_3,ppentq_3,piq_3,revtq_3,niq_3,cogsq_3,xoprq_3,xintq_3,oiadpq_3,dlcq_3,rdq_4,atq_4,dlttq_4,ltq_4,cheq_4,oibdpq_4,ppentq_4,piq_4,revtq_4,niq_4,cogsq_4,xoprq_4,xintq_4,oiadpq_4,dlcq_4,rdq_5,atq_5,dlttq_5,ltq_5,cheq_5,oibdpq_5,ppentq_5,piq_5,revtq_5,niq_5,cogsq_5,xoprq_5,xintq_5,oiadpq_5,dlcq_5,rdq_6,atq_6,dlttq_6,ltq_6,cheq_6,oibdpq_6,ppentq_6,piq_6,revtq_6,niq_6,cogsq_6,xoprq_6,xintq_6,oiadpq_6,dlcq_6,rdq_7,atq_7,dlttq_7,ltq_7,cheq_7,oibdpq_7,ppentq_7,piq_7,revtq_7,niq_7,cogsq_7,xoprq_7,xintq_7,oiadpq_7,dlcq_7,rdq_8,atq_8,dlttq_8,ltq_8,cheq_8,oibdpq_8,ppentq_8,piq_8,revtq_8,niq_8,cogsq_8,xoprq_8,xintq_8,oiadpq_8,dlcq_8,rdq_9,atq_9,dlttq_9,ltq_9,cheq_9,oibdpq_9,ppentq_9,piq_9,revtq_9,niq_9,cogsq_9,xoprq_9,xintq_9,oiadpq_9,dlcq_9,rdq_10,atq_10,dlttq_10,ltq_10,cheq_10,oibdpq_10,ppentq_10,piq_10,revtq_10,niq_10,cogsq_10,xoprq_10,xintq_10,oiadpq_10,dlcq_10,rdq_11,atq_11,dlttq_11,ltq_11,cheq_11,oibdpq_11,ppentq_11,piq_11,revtq_11,niq_11,cogsq_11,xoprq_11,xintq_11,oiadpq_11,dlcq_11,rdq_12,atq_12,dlttq_12,ltq_12,cheq_12,oibdpq_12,ppentq_12,piq_12,revtq_12,niq_12,cogsq_12,xoprq_12,xintq_12,oiadpq_12,dlcq_12
0,17274320,CIRCUIT RESEARCH LABS INC,CRLI,1995-05-15,2.239,0.11,0.245,0.483,0.027,0.62,0.004,0.537,0.002,0.157,0.51,0.007,0.005,0.007,1995-08-14,2.186,0.109,0.24,0.42,-0.038,0.613,-0.057,0.423,-0.047,0.117,0.461,0.004,-0.06,0.008,1995-11-16,2.209,0.106,0.348,0.442,-0.065,0.598,-0.085,0.489,-0.085,0.161,0.554,0.003,-0.086,0.008,1996-04-02,2.15,0.139,0.461,0.324,-0.144,0.594,-0.147,0.435,-0.177,0.183,0.579,0.0,-0.157,0.019,1996-05-15,2.206,0.125,0.5,0.4,0.045,0.613,0.021,0.639,0.021,0.239,0.594,0.007,0.023,0.019,1996-08-15,2.157,0.123,0.42,0.27,0.053,0.602,0.031,0.599,0.031,0.224,0.546,0.005,0.032,0.02,1996-11-18,2.232,0.12,0.43,0.252,0.092,0.584,0.065,0.632,0.065,0.244,0.54,0.004,0.066,0.015,1997-04-01,2.17,0.123,0.363,0.216,0.02,0.579,0.006,0.686,0.006,0.384,0.666,0.007,0.008,0.015,1997-05-16,2.109,0.109,0.301,0.143,0.026,0.565,0.004,0.511,0.001,0.186,0.485,0.003,0.005,0.021,1997-08-15,2.059,0.106,0.302,0.151,-0.031,0.553,-0.051,0.506,-0.051,0.258,0.537,0.003,-0.05,0.021,1997-11-14,2.042,0.104,0.302,0.127,0.004,0.543,-0.017,0.558,-0.017,0.249,0.554,0.004,-0.014,0.018,1998-03-31,1.847,0.106,0.302,0.21,-0.146,0.532,-0.195,0.379,-0.195,0.194,0.525,0.009,-0.192,0.016
1,45943650,INTL ELECTRONICS INC,IEIB,1995-01-09,2.847,0.491,1.583,0.592,0.068,0.332,0.013,1.595,0.012,0.862,1.527,0.014,0.001,0.091,1995-04-18,2.753,0.474,1.611,0.454,-0.022,0.32,-0.102,1.531,-0.103,0.802,1.553,0.014,-0.092,0.081,1995-07-17,2.641,0.469,1.585,0.373,-0.008,0.306,-0.086,1.596,-0.086,0.832,1.604,0.016,-0.078,0.073,1995-11-30,2.606,0.452,1.604,0.328,0.004,0.28,-0.056,1.701,-0.054,0.899,1.697,0.015,-0.054,0.069,1996-01-08,2.69,0.437,1.658,0.351,0.099,0.265,0.035,1.945,0.03,1.078,1.846,0.014,0.044,0.066,1996-03-29,2.94,0.426,1.769,0.529,0.134,0.292,0.067,2.046,0.051,1.131,1.912,0.013,0.073,0.099,1996-07-11,2.985,0.425,1.778,0.518,0.135,0.288,0.059,2.249,0.035,1.215,2.114,0.014,0.072,0.091,1996-11-07,3.1,0.409,1.824,0.557,0.106,0.301,0.041,2.37,0.046,1.38,2.264,0.012,0.037,0.08,1997-01-10,3.218,0.417,1.911,0.604,0.114,0.318,0.044,2.298,0.028,1.307,2.184,0.012,0.053,0.074,1997-04-10,3.095,0.054,1.858,0.508,0.0,0.354,-0.074,2.187,-0.07,1.256,2.187,0.012,-0.07,0.04,1997-07-14,3.208,0.058,1.959,0.387,0.088,0.339,0.02,2.334,0.01,1.32,2.246,0.004,0.015,0.035,1997-11-19,3.026,0.068,1.675,0.16,0.191,0.357,0.108,2.355,0.102,1.271,2.164,0.003,0.11,0.036
2,60487110,MISONIX INC,MSON,1994-11-16,5.384,0.041,1.698,1.592,-0.161,0.836,-0.237,1.835,-0.237,0.848,1.996,0.006,-0.252,0.575,1995-02-13,4.527,0.035,1.601,1.293,-0.361,0.642,-0.762,1.877,-0.762,1.038,2.238,0.013,-0.395,0.416,1995-05-16,4.64,0.031,1.764,1.08,0.035,0.626,-0.047,2.338,-0.047,1.249,2.303,0.007,-0.012,0.351,1995-08-28,4.812,0.054,1.797,1.242,0.168,0.642,0.123,2.502,0.117,1.291,2.334,0.007,0.127,0.369,1995-11-14,4.967,0.072,2.022,1.358,-0.016,0.661,-0.07,2.128,-0.075,1.109,2.144,0.009,-0.066,0.575,1996-02-16,5.06,0.061,2.158,1.616,0.017,0.615,-0.043,2.252,-0.044,1.136,2.235,0.012,-0.036,0.577,1996-05-14,5.707,0.077,2.509,1.458,0.355,0.605,0.3,2.822,0.261,1.353,2.467,0.011,0.302,0.574,1996-08-13,6.075,0.082,2.602,1.507,0.296,0.622,0.272,2.78,0.247,1.39,2.484,0.01,0.259,0.571,1996-10-30,6.373,0.105,2.47,1.518,0.48,0.692,0.427,2.9,0.425,1.301,2.42,0.011,0.424,0.609,1997-01-22,7.603,0.659,3.052,2.432,0.546,0.755,0.555,3.627,0.55,1.737,3.081,0.01,0.525,0.58,1997-04-21,16.639,0.113,4.929,9.41,1.432,0.849,-2.861,5.118,-2.906,2.054,3.686,0.011,1.367,0.612,1997-08-12,18.737,0.135,4.723,11.778,2.055,0.956,2.14,6.07,2.108,2.268,4.015,0.009,1.966,0.607
3,45252530,IMMUCELL CORP,ICCC,1995-04-19,3.156,0.589,1.178,1.395,0.156,0.714,0.102,1.475,0.102,1.319,1.319,0.017,0.098,0.126,1995-07-24,3.02,0.568,1.155,1.332,-0.078,0.672,-0.113,1.157,-0.113,1.235,1.235,0.019,-0.118,0.119,1995-10-25,3.166,0.652,1.312,1.466,0.016,0.597,-0.01,1.176,-0.01,1.16,1.16,0.016,-0.027,0.165,1996-02-14,3.234,0.608,1.329,1.55,0.086,0.662,0.051,1.13,0.051,1.044,1.044,0.021,0.044,0.169,1996-04-25,3.082,0.56,1.189,1.143,0.026,0.778,-0.012,1.416,-0.012,1.39,1.39,0.02,-0.006,0.177,1996-07-23,2.976,0.518,1.179,1.031,-0.102,0.805,-0.135,0.854,-0.135,0.956,0.956,0.017,-0.13,0.177,1996-10-28,2.998,0.629,1.308,0.824,-0.07,0.84,-0.107,1.011,-0.107,1.081,1.081,0.017,-0.099,0.224,1997-02-12,3.131,0.57,1.254,1.044,0.223,0.816,0.188,1.159,0.188,0.936,0.936,0.021,0.199,0.229,1997-04-28,3.189,0.509,1.153,1.061,0.185,0.812,0.152,1.3,0.152,1.115,1.115,0.017,0.161,0.235,1997-07-22,2.913,0.446,1.082,0.932,-0.173,0.792,-0.204,0.848,-0.204,1.021,1.021,0.019,-0.197,0.241,1997-10-24,2.851,0.382,1.024,0.798,0.029,0.812,-0.004,0.981,-0.004,0.952,0.952,0.017,0.004,0.247,1998-02-04,3.231,0.339,0.901,1.021,0.364,0.789,0.32,1.428,0.32,1.064,1.064,0.015,0.338,0.23
4,04028210,ARGUSS COMMUNICATIONS INC,ACX.1,1995-05-08,7.483,1.108,4.077,0.065,0.164,1.697,0.052,3.256,0.052,2.243,3.092,0.023,0.075,0.046,1995-07-28,7.735,1.102,4.241,0.01,0.21,1.631,0.088,3.738,0.088,2.406,3.528,0.034,0.122,0.877,1995-10-25,7.757,1.099,4.195,0.018,0.193,1.56,0.068,3.896,0.068,2.554,3.703,0.036,0.104,0.887,1996-02-22,7.815,1.087,4.049,0.01,0.32,1.522,0.204,4.138,0.204,2.739,3.818,0.053,0.257,0.888,1996-05-02,8.63,1.074,4.805,0.01,0.186,1.507,0.059,3.93,0.059,2.591,3.744,0.045,0.104,1.007,1996-08-07,8.636,1.063,5.132,0.011,-0.188,1.444,-0.32,3.63,-0.32,2.577,3.818,0.046,-0.274,0.999,1996-10-24,8.281,1.053,4.641,0.012,0.267,1.389,0.135,4.072,0.135,2.763,3.805,0.046,0.181,1.279,1997-03-18,19.107,1.038,4.335,10.318,0.313,1.393,0.229,4.021,0.214,2.509,3.708,0.043,0.272,0.048,1997-04-18,34.176,3.392,10.477,1.243,0.696,5.374,0.237,8.976,0.618,6.514,8.28,0.055,0.292,0.72,1997-07-16,37.483,3.402,13.001,1.555,2.055,6.608,1.527,12.682,0.774,8.251,10.627,0.091,1.618,2.762,1997-10-20,53.774,5.4,18.654,3.161,1.946,9.974,1.241,14.168,0.61,9.61,12.222,0.104,1.345,5.31,1998-03-23,59.035,6.995,22.065,1.215,0.854,13.274,-0.202,17.458,-0.197,13.261,16.604,0.309,0.107,5.926
5,8676EP10,SUNOPTA INC,STKL,1995-05-02,7.08,2.539,4.643,1.129,0.312,2.972,0.23,2.262,0.206,1.572,1.95,0.043,0.247,0.858,1995-07-31,7.693,2.277,4.98,1.082,0.124,3.209,0.282,2.581,0.195,2.064,2.457,0.022,0.041,0.927,1995-10-26,10.644,1.988,4.76,4.398,0.596,3.175,0.637,3.256,0.524,2.244,2.66,0.031,0.549,1.095,1996-04-01,16.96,3.54,6.997,4.429,0.218,5.001,0.31,2.789,0.319,1.862,2.571,0.035,0.128,0.11,1996-05-16,15.956,3.479,6.247,3.53,-0.102,5.295,-0.22,3.158,-0.237,2.654,3.26,0.08,-0.253,0.146,1996-08-15,16.116,3.442,6.253,2.979,0.058,5.333,0.037,4.703,0.028,3.657,4.645,0.016,-0.121,0.147,1996-11-13,15.977,1.812,6.088,3.016,0.219,5.462,0.058,4.17,0.019,3.039,3.951,0.081,0.072,1.727,1997-03-31,16.295,2.486,6.455,2.741,0.335,5.62,-0.029,4.007,-0.043,2.793,3.672,0.055,0.169,0.997,1997-05-16,15.067,2.36,5.4,1.274,-0.129,5.695,-0.186,3.379,-0.205,2.764,3.508,0.067,-0.295,0.59,1997-08-14,15.554,2.36,5.874,1.447,0.116,5.626,0.026,4.401,0.007,3.455,4.285,0.048,-0.024,0.59,1997-11-17,15.011,2.01,4.964,1.501,0.505,5.62,0.358,4.511,0.337,3.203,4.006,0.042,0.365,0.59,1998-03-31,15.024,2.01,5.075,1.281,0.289,5.96,0.025,4.556,0.01,3.322,4.267,0.026,0.043,0.59
6,54987010,LUKENS MEDICAL CORP,LUKN,1995-05-16,8.646,1.986,3.407,0.455,0.075,3.319,-0.097,1.004,-0.097,0.57,0.929,0.072,-0.032,0.789,1995-08-17,8.815,2.314,3.532,0.354,0.169,3.278,0.044,1.188,0.044,0.73,1.019,0.079,0.117,0.546,1995-11-13,7.09,0.783,1.683,0.208,0.283,1.557,-0.11,1.478,0.123,0.898,1.195,0.048,0.145,0.311,1996-04-03,7.459,0.767,1.92,0.039,-0.059,1.711,0.131,1.213,0.131,0.9,1.272,0.01,-0.1,0.376,1996-05-03,8.046,1.241,2.404,0.119,0.284,1.71,0.104,1.545,0.104,0.905,1.261,0.022,0.11,0.375,1996-08-07,8.774,1.313,2.653,0.15,0.424,1.776,0.241,2.363,0.241,1.507,1.939,0.03,0.296,0.406,1996-11-07,9.679,1.324,3.294,0.115,0.42,1.92,0.229,2.236,0.229,1.301,1.816,0.07,0.307,0.815,1997-03-27,11.802,1.906,5.523,0.878,-0.103,2.063,-0.111,2.035,-0.111,1.651,2.138,0.076,-0.121,2.042,1997-05-10,11.949,1.728,5.404,0.174,0.426,2.012,0.253,2.404,0.253,1.519,1.978,0.053,0.306,2.056,1997-08-08,14.369,2.535,5.95,0.107,0.509,3.097,0.276,2.33,0.276,1.352,1.821,0.069,0.337,1.696,1997-11-12,15.77,3.455,7.194,0.097,0.363,3.068,0.133,2.068,0.133,1.224,1.705,0.113,0.245,1.863,1998-03-31,13.044,2.63,9.927,0.074,-1.821,3.599,-5.161,1.817,-5.161,1.49,3.638,0.198,-2.066,5.294
7,91382130,UNIVERSAL SECURITY INSTRUMNT,UUU,1995-08-09,12.0,1.289,4.547,0.247,-0.284,2.074,-0.322,5.038,-0.322,4.365,5.322,0.128,-0.328,1.892,1995-11-07,12.759,1.284,5.442,0.141,-0.055,2.044,-0.136,4.92,-0.136,4.093,4.975,0.131,-0.1,2.79,1996-02-14,13.716,1.282,6.349,0.283,0.243,2.028,0.05,5.317,0.05,4.041,5.074,0.141,0.196,3.624,1996-07-01,12.676,1.277,6.0,0.107,-0.501,1.986,-0.691,4.233,-0.691,3.689,4.734,0.143,-0.547,3.007,1996-08-15,11.469,1.399,5.641,0.187,-0.263,1.944,-0.848,4.347,-0.848,3.459,4.61,0.113,-0.305,2.778,1996-11-15,12.388,1.377,6.388,0.129,-0.034,1.806,0.172,5.237,0.172,4.468,5.271,0.127,-0.075,3.026,1997-02-20,10.33,1.355,4.618,0.244,-0.063,1.766,-0.287,3.677,-0.287,2.933,3.74,0.101,-0.103,1.616,1997-07-14,9.557,1.344,4.365,0.15,-0.514,1.757,-0.52,2.162,-0.52,1.976,2.676,0.07,-0.556,1.454,1997-08-13,9.225,1.322,4.016,0.084,0.114,1.719,0.017,3.358,0.017,2.67,3.244,0.072,0.074,1.489,1997-11-03,8.681,1.3,3.449,0.072,0.051,1.681,0.022,3.295,0.022,2.633,3.244,0.075,0.013,1.318,1998-02-24,7.994,1.277,3.147,0.099,-0.266,1.642,-0.385,2.326,-0.385,2.021,2.592,0.063,-0.305,0.932,1998-06-24,7.705,1.247,2.958,0.133,0.113,1.613,-0.099,2.587,-0.099,1.911,2.474,0.061,0.072,1.06
8,59935810,MILESTONE PROPERTIES INC,3MPRP,1995-05-16,142.118,48.109,105.299,27.96,1.688,69.834,-0.982,3.217,-0.624,1.529,1.529,1.921,0.939,54.208,1995-08-16,146.454,47.782,109.535,30.148,2.723,69.244,0.058,4.207,-0.118,1.484,1.484,1.994,2.052,57.967,1995-11-15,145.004,29.224,105.225,85.757,9.327,50.438,6.543,10.593,3.922,1.266,1.266,2.11,8.653,70.776,1996-04-03,198.413,79.278,165.898,73.276,-1.928,19.274,-6.112,11.888,-3.99,13.816,13.816,2.891,-3.221,63.009,1996-05-16,209.409,81.47,177.397,84.306,3.287,19.142,0.746,9.222,0.463,5.935,5.935,2.358,3.104,71.1,1996-08-14,192.213,79.044,160.828,82.343,3.616,19.009,0.333,9.885,0.178,6.269,6.269,3.102,3.435,69.037,1996-11-15,198.338,78.443,167.291,86.262,2.194,19.076,-1.121,7.466,-1.361,5.272,5.272,3.129,2.008,72.696,1997-04-02,182.095,71.563,153.136,70.176,1.528,18.885,-2.079,7.149,-1.767,5.621,5.621,3.373,1.294,60.644,1997-05-15,151.46,70.815,122.521,53.086,1.784,18.749,-0.672,6.848,-0.349,5.064,5.064,2.263,1.591,44.327,1997-08-15,153.935,69.981,126.526,54.534,0.873,18.638,-1.691,5.966,-2.107,5.093,5.093,2.376,0.685,45.506,1997-11-18,158.575,69.382,131.144,57.324,1.469,19.735,-1.019,6.309,-1.186,4.84,4.84,2.267,1.248,47.331,1998-03-31,112.223,61.742,86.474,13.658,1.689,19.61,-0.77,10.969,0.211,9.28,9.28,2.214,1.444,5.998
9,13191610,CAM COMM SOLUTIONS INC,CADA.,1995-01-31,5.252,0.0,1.513,1.519,0.297,0.492,0.137,3.743,0.084,1.743,3.446,0.0,0.125,0.0,1995-05-15,5.142,0.0,1.473,1.671,0.053,0.487,-0.088,3.181,-0.072,1.523,3.128,0.0,-0.108,0.0,1995-07-18,5.602,0.0,1.744,1.947,0.294,0.45,0.203,3.804,0.178,1.761,3.51,0.0,0.184,0.0,1995-11-20,6.141,0.0,2.053,3.016,0.444,0.443,0.351,4.006,0.223,1.765,3.562,0.0,0.324,0.0,1996-01-22,6.132,0.0,1.857,3.081,0.343,0.431,0.265,3.329,0.162,1.504,2.986,0.0,0.229,0.0,1996-04-29,6.286,0.0,1.839,2.953,0.319,0.607,0.272,3.412,0.166,1.575,3.093,0.0,0.24,0.0,1996-07-16,7.424,0.0,2.664,3.002,0.578,0.59,0.473,4.714,0.288,2.215,4.136,0.0,0.443,0.0,1996-11-22,7.158,0.0,2.161,3.338,0.306,0.572,0.201,4.215,0.224,1.99,3.909,0.0,0.172,0.0,1997-01-29,7.502,0.0,2.28,2.977,0.337,0.793,0.267,4.779,0.187,2.404,4.442,0.0,0.232,0.0,1997-05-01,6.985,0.0,1.775,2.422,0.016,1.235,-0.068,3.597,-0.048,1.839,3.581,0.0,-0.098,0.0,1997-07-31,7.252,0.0,2.03,3.026,0.117,0.72,0.014,4.419,0.01,2.348,4.302,0.0,-0.011,0.0,1997-11-20,7.608,0.0,2.324,2.916,0.155,0.789,0.044,4.685,0.028,2.459,4.53,0.0,0.01,0.0
